category,name,price,description,badge
Espresso Drinks,Espresso,5600,A rich double shot of our signature dark roast blend with a golden crema,House Favorite
Espresso Drinks,Americano,6400,Two shots of espresso topped with hot water for a smooth and bold cup,
Espresso Drinks,Cappuccino,7600,"Equal parts espresso, steamed milk, and velvety foam for a classic Italian experience",Popular
Espresso Drinks,Latte,8400,Two shots of espresso with silky steamed milk and a thin layer of microfoam,Popular
Espresso Drinks,Flat White,8000,Ristretto shots with a double ristretto and velvety microfoam poured over whole milk,House Favorite
Espresso Drinks,Cortado,7200,Equal parts espresso and warm milk to reduce the acidity without overwhelming the coffee,
Espresso Drinks,Macchiato,6800,A shot of espresso lightly marked with a dollop of fresh foam,
Espresso Drinks,Mocha,9200,Two shots of espresso blended with rich dark chocolate sauce and steamed milk,Popular
Espresso Drinks,Caramel Latte,9200,Our classic latte sweetened with house-made salted caramel syrup,Popular
Espresso Drinks,Vanilla Latte,8800,Smooth espresso and steamed milk with a touch of pure vanilla bean syrup,
Espresso Drinks,Lavender Latte,9200,Two shots of espresso with house-made lavender syrup and oat milk foam,House Favorite
Espresso Drinks,Hazelnut Mocha,9600,Espresso with dark chocolate and toasted hazelnut syrup topped with whipped cream,
Espresso Drinks,Brown Sugar Oat Latte,9200,Espresso shaken with brown sugar cinnamon syrup and poured over oat milk,Popular
Cold Drinks,Cold Brew,7600,Steeped for 20 hours in cold water for a smooth low-acid concentrate served over ice,Popular
Cold Drinks,Nitro Cold Brew,8800,Cold brew infused with nitrogen for a creamy cascading pour with a velvety finish,House Favorite
Cold Drinks,Iced Americano,7200,Double espresso poured over ice and topped with cold water,
Cold Drinks,Iced Latte,8800,Espresso chilled over ice and topped with cold milk of your choice,Popular
Cold Drinks,Iced Mocha,9600,Espresso with chocolate sauce shaken over ice and topped with cold milk,
Cold Drinks,Iced Caramel Macchiato,10000,"Vanilla syrup and cold milk layered with espresso and a drizzle of caramel",Popular
Cold Drinks,Sparkling Lemonade,6400,Fresh-squeezed lemon juice with cane sugar and sparkling water,
Cold Drinks,Strawberry Matcha Latte,10000,"Ceremonial grade matcha with oat milk and a house-made strawberry compote",House Favorite
Cold Drinks,Mango Passion Refresher,8000,Tropical mango and passion fruit blend with green coffee extract over ice,Popular
Cold Drinks,Classic Iced Tea,5600,House-brewed black tea served over ice — sweetened or unsweetened,
Cold Drinks,Peach Iced Tea,6800,House black tea infused with ripe peach syrup served over ice,
Cold Drinks,Horchata Cold Brew,9600,Cold brew layered over house-made cinnamon rice milk and vanilla,House Favorite
Pastries,Butter Croissant,6000,Flaky golden croissant made with European-style butter — baked fresh each morning,Popular
Pastries,Almond Croissant,7200,Twice-baked croissant filled with almond cream and topped with toasted sliced almonds,House Favorite
Pastries,Chocolate Croissant,6800,Buttery laminated pastry wrapped around dark Belgian chocolate batons,Popular
Pastries,Blueberry Scone,6000,Tender buttermilk scone loaded with fresh blueberries and a lemon glaze,
Pastries,Cinnamon Roll,8000,"Soft pillowy roll swirled with cinnamon brown sugar and topped with cream cheese icing",Popular
Pastries,Banana Bread,5600,"Moist loaf made with overripe bananas, walnuts and a hint of cinnamon",House Favorite
Pastries,Lemon Poppy Seed Muffin,5600,Bright zesty muffin with fresh lemon zest and a crunchy poppy seed crumble top,
Pastries,Morning Glory Muffin,6400,"Hearty muffin packed with carrots, apple, coconut and warm spices",
Pastries,Chocolate Chip Cookie,5200,Thick bakery-style cookie with semi-sweet and dark chocolate chips baked to order,Popular
Pastries,Cardamom Kouign-Amann,7600,Caramelized laminated pastry with cardamom sugar — crispy outside and buttery inside,House Favorite
Pastries,Seasonal Fruit Tart,8800,"Buttery tart shell filled with vanilla pastry cream and topped with fresh, seasonal fruit",
Sandwiches,Avocado Toast,15200,"Smashed avocado on sourdough with everything bagel seasoning and a drizzle of olive oil",Popular
Sandwiches,Egg & Cheese Sandwich,12800,"Fluffy scrambled egg and aged cheddar on a toasted English muffin",Popular
Sandwiches,BLT Club,16800,"Crispy bacon, lettuce and tomato with herb aioli on toasted sourdough",
Sandwiches,Turkey Pesto Panini,17600,"Sliced turkey breast with sun-dried tomato pesto, arugula and fresh mozzarella pressed hot",House Favorite
Sandwiches,Caprese Sandwich,16000,"Fresh mozzarella, ripe tomato, basil and balsamic glaze on a ciabatta roll",
Sandwiches,Smoked Salmon Bagel,19200,"House cream cheese, smoked salmon, capers, red onion and dill on a toasted everything bagel",House Favorite
Sandwiches,Grilled Veggie Wrap,16800,"Roasted zucchini, bell pepper, red onion and hummus in a whole wheat spinach wrap",
Sandwiches,Chicken Caesar Wrap,18400,"Grilled chicken, romaine hearts, shaved parmesan and caesar dressing in a toasted flour wrap",Popular
Sandwiches,Ham & Gruyere Croissant,16000,"Smoked ham and melted gruyere on a toasted butter croissant with whole grain mustard",Popular
Sandwiches,Mushroom & Brie Panini,17600,"Sautéed wild mushrooms with brie, fig jam and baby arugula pressed on sourdough",House Favorite
